id,priority,headline,date,primary_sources,impacted_tickers,direction,magnitude,timeline,thesis_summary,options_direction,call_put_skew,iv_expectation,trade_structure,iv_crush_risk,confidence
ALERT-001,CRITICAL,"Golden Dome / SHIELD: $151B Contract Vehicle + $3.2B Space-Based Interceptor Awards","2026-04 (SBI); ongoing","GovCon Wire; Air & Space Forces; SpaceNews; Breaking Defense","NOC / RTX / LMT / BA / RKLB",BULLISH,HIGH,"Immediate + ongoing through 2028","All major primes on $151B SHIELD vehicle. Space-based interceptors ($3.2B across 12 firms) accelerate Golden Dome 2028 IOC. NOC & RTX best positioned.","Long NOC/RTX/LMT calls; long ITA/DFEN ETF","Call skew across NOC RTX LMT ITA DFEN","EXPAND ahead of Ankara July summit and Q3 task orders","NOC/RTX call spreads 60-90 DTE; ITA calls as sector expression",Low,0.90
ALERT-002,HIGH,"F/A-XX 6th-Gen Navy Fighter: August 2026 Contract Award — NOC Favored; CNO Says One Bidder 'Can't Deliver'","2026-04-20 (CNO); Award: August 2026","DefenseScoop; Aviation Week; Breaking Defense; The Aviationist","NOC (WIN) / BA (LOSS)","NOC STRONGLY BULLISH; BA MILDLY BEARISH",HIGH,"Weeks (August 2026 binary event)","CNO signal points to Boeing capacity issues (F-47 conflict). Northrop win = first fighter in 50 years. $100B+ lifecycle value. Market partially priced; confirmation pop expected.","Long NOC calls; neutral BA","NOC call skew building; BA put skew elevated separately","NOC IV will EXPAND into August announcement — enter now","NOC Aug/Sep call spread or straddle; BA existing puts sufficient","HIGH post-announcement — exit before or roll immediately",0.82
ALERT-003,HIGH,"Low-Cost Containerized Missiles (LCCM): 10K+ Missiles $10B+ Ceiling — Assessment Buys Begin June 2026","2026-05-13 (agreements); June 2026 (assessment start)","DefenseScoop; Military Times; Breaking Defense","LDOS / RTX (negative)","LDOS BULLISH; RTX MILDLY BEARISH",HIGH,"Immediate (assessment buys now); Revenue 2027+","LDOS captures 3000-unit initial commitment. RTX Tomahawk faces pricing pressure from low-cost LCCM alternatives. Iran conflict demand validates urgency.","Long LDOS; mild RTX put spread","LDOS call skew building; RTX moderate put skew","LDOS IV expands into next earnings","LDOS long calls 60-90 DTE; RTX put spread as hedge","Moderate post-earnings",0.87
ALERT-004,HIGH,"Perennial Autonomy $500M C-UAS — Largest Single Counter-Drone Pentagon Award Ever","2026-05-19","Defense News; DefenseScoop; Inside Unmanned Systems","RTX (bearish) / DFEN ETF / ITA ETF","RTX BEARISH; ETFs BULLISH",MEDIUM,"Days to weeks (sector rotation)","DoD formalizing AI-native C-UAS doctrine. RTX Coyote program losing share to cheap interceptors. Public market: ETF expressions (DFEN ITA SHLD) capture broader AI-defense buildout.","Mildly short RTX; long DFEN/ITA","RTX light put skew; ETF call skew building","No single large vol event; gradual RTX repricing","RTX put spread; DFEN/ITA calls 30-60 DTE",Low,0.75
ALERT-005,HIGH,"Shipbuilding Surge: $27B FY2026 + One Big Beautiful Bill — Two Virginia SSNs + Hadrian AI Facility","2026-01 (budget)","Defense One; USNI News; Naval Technology; ExecutiveGov","HII / GD / LMT / LDOS","BULLISH all",HIGH,"Medium (months-quarters); Revenue 2026-2032","Largest peacetime maritime investment in decades. AUKUS rotational deployments 2027 amplify demand. HII and GD direct revenue beneficiaries. LDOS captures ShipOS AI production margin.","Long HII GD; LDOS secondary","HII GD call skew; steady accumulation","IV low — no binary event; underlying drift bullish","HII/GD long calls or stock with protective puts 90-180 DTE",Low,0.88
ALERT-006,HIGH,"China Rare Earth Wave 2 Suspension EXPIRES November 2026 — No Extension Confirmed; Five REEs Return to Full Control","Ongoing; hard expiry: November 2026","CSIS; Clark Hill PLC; War on the Rocks; Rare Earth Exchanges","MP (bullish) / UAMY (bullish) / LMT RTX NVDA TSLA GM (bearish)","MP STRONGLY BULLISH; Defense primes BEARISH (supply chain)",HIGH,"Weeks to months (November 2026 is the hard catalyst)","May 2026 summit produced no binding renewal. Five REEs snap back simultaneously if no extension. Supply shock for defense magnets sensors and EV motors. MP Materials is clearest public-market beneficiary. Market underpricing tail risk.","Long MP calls; LMT RTX put spreads as supply chain hedge","MP call skew building; defense prime put skew","MP IV will EXPAND significantly into October/November — enter NOW","MP calls Sep/Oct/Nov ladder; LMT/RTX put spreads","HIGH if extension announced — set stop-loss on MP calls",0.85
ALERT-007,MEDIUM-HIGH,"NATO Ankara Summit July 7-8 2026: 5% GDP Defense Spending — European Rearmament Acceleration","2026-07-07 to 2026-07-08","Türkiye Today; Atlantic Council; NATO.int; Wikipedia","NOC / RTX / LMT / RHM.DE / BAESY / ITA","BULLISH all; RHM.DE STRONGLY BULLISH","MEDIUM-HIGH","Weeks (July 7-8 catalyst)","European +20% defense spend YoY already. Ankara sets 2027-2030 acquisition roadmaps. US primes capture FMS flow. RHM.DE is standout European single-name. Ukraine exclusion creates noise but does not change procurement fundamentals.","Long defense primes into July; long RHM.DE","Call skew on ITA LMT RTX NOC into summit; RHM on European exchanges","IV EXPAND into summit then CRUSH post-announcement","Long ITA calls or straddle into summit; single-name longs LMT/RTX for FMS flow","MODERATE — buy before July manage through summit",0.80
ALERT-008,MEDIUM,"JHTO Hypersonic S2MARTS Awards: Kratos Leidos GoHypersonic — $68M Across Six Vendors","2026-02-12 to 2026-02-18","DefenseScoop; Defense Post; ExecutiveGov; Kratos Defense","KTOS / LDOS / LMT (adjacent)","BULLISH KTOS; LDOS secondary",MEDIUM,"Medium (follow-on awards H2 2026)","S2MARTS OTAs signal broader hypersonics vendor base expansion. KTOS best small-cap public play. OTA awards historically precede larger EMD contracts. Watch KTOS for follow-on H2 2026.","Long KTOS calls; LDOS secondary","KTOS call skew; small-cap vol elevated","KTOS IV elevated baseline; follow-on awards = spike catalyst","KTOS long calls 90 DTE or long stock + protective put","Moderate; size carefully in small-cap",0.72
ALERT-009,MEDIUM,"SCOTUS IEEPA Ruling + 10% Universal Tariff + Copper Tariff Decision Due June 30 2026","2026-02-20 (ruling); June 30 2026 (copper deadline)","White House; Ballotpedia; White House Actions","FCX / SCCO / GLD / XLI / CAT / DE","FCX SCCO GLD BULLISH; XLI CAT DE MILDLY BEARISH",MEDIUM,"IMMEDIATE — copper decision by June 30 2026","SCOTUS killed IEEPA tariff authority. Trump pivoted to Section 122 (10% universal; 150-day limit). Copper tariff decision due THIS WEEK. FCX SCCO benefit if domestic preference codified. GLD safe haven.","FCX SCCO calls; GLD calls; XLI puts","FCX call skew building into June 30; GLD call skew","FCX/SCCO IV to EXPAND into copper tariff decision","FCX long calls June 30/July expiry; GLD calls as macro hedge","HIGH post-announcement — short-dated only",0.73
ALERT-010,MEDIUM,"LMT F-35 EW Modernization $991M + $3.6B Logistics Mod — Steady Sustainment Within Guidance","2026-05-20 (EW award)","Defense Post; GovCon Wire; Air & Space Forces Magazine","LMT","NEUTRAL-BULLISH",SMALL-MEDIUM,"Immediate (priced); earnings revision risk 30-60 days","Sustainment awards are within expected run-rate. Not a step-change. Key risk: F-35 delivery pace and Q2 earnings. Long-term headwind from F-47/F-XX budget competition.","Neutral; slight call skew on earnings beat","Balanced; slight call skew if sector rallies","IV compresses post-awards; may expand ahead of Q2 earnings","LMT stock or covered call strategy; no aggressive directional play","MODERATE on earnings",0.78
